target_class,n_valid_ligands,n_unique_scaffolds,scaffold_fraction,n_chembl_targets,n_with_pchembl,median_pchembl,assay_types,organism_counts,minimum_reference_ligands,quality_grade,clinical_status,target_role,sequence_mapping_required,pocket_mapping_required,evidence_warning
MurE,0,0,0.0,0,0,,{},{},10.0,insufficient,preclinical,direct_viability_target,yes,yes,Substrate specificity is highly organism-dependent
LpxA,1,1,1.0,1,1,4.301029995663981,"{""IC50"": 1}","{""E. coli LpxA"": 1}",10.0,low,preclinical,direct_viability_target,yes,yes,Envelope pathway and cellular accessibility are critical
LpxC,600,241,0.40166666666666667,2,600,8.15,"{""IC50"": 569, ""Kd"": 19, ""Ki"": 12}","{""E. coli"": 234, ""P. aeruginosa"": 366}",30.0,usable,clinical_development_or_preclinical,direct_viability_target,yes,yes,Exposure and toxicity limited clinical translation
LpxH,252,41,0.1626984126984127,1,252,7.89,"{""IC50"": 241, ""Kd"": 11}","{""E. coli"": 252}",30.0,usable,preclinical,direct_viability_target,yes,yes,Species distribution and permeability need checking
PBP,0,0,0.0,0,0,,{},{},30.0,insufficient,approved,direct_viability_target,yes,yes,PBP repertoire and beta-lactamase context are species-specific
PBP2a,17,15,0.8823529411764706,2,17,5.89,"{""EC50"": 1, ""IC50"": 16}","{""S. aureus PBP2"": 13, ""S. aureus PBP4"": 4}",10.0,usable,approved_resistance_target,resistance_target,yes,yes,Do not transfer MRSA PBP2a priority to Gram-negative species
Beta-lactamase,0,0,0.0,0,0,,{},{},30.0,insufficient,approved_resistance_target,resistance_target,yes,yes,Enzyme family and inhibitor mechanism must be resolved
70S_ribosome,155,56,0.36129032258064514,1,155,6.222,"{""IC50"": 126, ""Kd"": 13, ""Ki"": 9, ""Km"": 7}","{""Bacteria"": 155}",30.0,usable,approved,direct_viability_target,yes,yes,Drug-specific binding site must be resolved
30S_ribosome,0,0,0.0,0,0,,{},{},30.0,insufficient,approved,direct_viability_target,yes,yes,Do not infer exact subunit from broad phenotypic labels
50S_ribosome,0,0,0.0,0,0,,{},{},30.0,insufficient,approved,direct_viability_target,yes,yes,Macrolide/oxazolidinone/tetracycline sites differ
D-Ala-D-Ala,26,9,0.34615384615384615,2,26,6.155,"{""IC50"": 26}","{""Enterococcus faecalis (strain ATCC 700802 / V583)"": 23, ""Escherichia coli K-12"": 3}",30.0,low,approved,complex_or_substrate_target,yes,yes,Glycopeptide binding is mainly Gram-positive-relevant
Membrane,0,0,0.0,0,0,,{},{},0.0,insufficient,approved,phenotypic_mechanism,no,no,Must not be collapsed into one protein target
Efflux,0,0,0.0,0,0,,{},{},0.0,insufficient,clinically_relevant,resistance_mechanism,yes,yes,Requires transporter and species-specific context
Porin,0,0,0.0,0,0,,{},{},0.0,insufficient,clinically_relevant,resistance_mechanism,yes,yes,Accessibility mechanism rather than direct binding target
Human_off_target,0,0,0.0,0,0,,{},{},30.0,insufficient,not_antibacterial,safety_antitarget,no,yes,Used to identify selectivity liabilities rather than antibacterial efficacy
PBP1A,0,0,0.0,0,0,,{},{},10.0,insufficient,approved,direct_viability_target,yes,yes,PBP1A labels are target-family/site evidence and must not be confused with broad PBP phenotypic assays
PBP1B,0,0,0.0,0,0,,{},{},10.0,insufficient,approved,direct_viability_target,yes,yes,Retain organism and assay context because PBP1B chemistry is species-dependent
PBP2,0,0,0.0,0,0,,{},{},10.0,insufficient,approved,direct_viability_target,yes,yes,Separate PBP2 from PBP2a and PBP2x
PBP2B,0,0,0.0,0,0,,{},{},10.0,insufficient,approved,direct_viability_target,yes,yes,Mostly Gram-positive reference context
PBP2X,0,0,0.0,0,0,,{},{},10.0,insufficient,approved,direct_viability_target,yes,yes,Keep PBP2X distinct from PBP2B
PBP3,0,0,0.0,0,0,,{},{},10.0,insufficient,approved,direct_viability_target,yes,yes,Use direct molecular assignments rather than cell-only labels
PBP4,0,0,0.0,0,0,,{},{},10.0,insufficient,validated_or_preclinical,direct_viability_target,yes,yes,Lower essentiality and redundancy require organism-specific interpretation
Beta-lactamase_class_A,0,0,0.0,0,0,,{},{},10.0,insufficient,approved_resistance_target,resistance_target,yes,yes,Resistance-modifying target; class assignment follows Ambler nomenclature or named CTX-M/TEM/SHV/KPC/PSE/GES enzymes
Beta-lactamase_class_B,0,0,0.0,0,0,,{},{},10.0,insufficient,approved_resistance_target,resistance_target,yes,yes,Metallo-beta-lactamase resistance-modifying target; do not treat as direct bactericidal target
Beta-lactamase_class_C,0,0,0.0,0,0,,{},{},10.0,insufficient,approved_resistance_target,resistance_target,yes,yes,Class C/AmpC/ADC assignment requires named or explicit class evidence
Beta-lactamase_class_D,0,0,0.0,0,0,,{},{},10.0,insufficient,approved_resistance_target,resistance_target,yes,yes,Class D/OXA assignment requires named or explicit class evidence
30S_aminoglycoside,0,0,0.0,0,0,,{},{},10.0,insufficient,approved,direct_viability_target,yes,yes,Decoding-center or aminoglycoside-site evidence only; broad 30S records remain parent-family evidence
30S_tetracycline,0,0,0.0,0,0,,{},{},10.0,insufficient,approved,direct_viability_target,yes,yes,Tetracycline-site evidence only; do not merge with aminoglycoside chemistry
50S_macrolide,0,0,0.0,0,0,,{},{},10.0,insufficient,approved,direct_viability_target,yes,yes,Macrolide tunnel binding-site evidence
50S_oxazolidinone,0,0,0.0,0,0,,{},{},10.0,insufficient,approved,direct_viability_target,yes,yes,Oxazolidinone/peptidyl-transferase-center evidence
50S_pleuromutilin,0,0,0.0,0,0,,{},{},10.0,insufficient,approved,direct_viability_target,yes,yes,Pleuromutilin site evidence
50S_chloramphenicol,0,0,0.0,0,0,,{},{},10.0,insufficient,approved,direct_viability_target,yes,yes,Chloramphenicol site evidence
