target_class,target_family,target_role,mechanism_granularity,reference_data_types,clinical_status,essentiality_level,cellular_localization,resistance_relevance,organism_scope,benchmark_aliases,min_reference_ligands,sequence_mapping_required,pocket_mapping_required,confidence_policy,notes
LpxC,lipid A biosynthesis,direct_viability_target,protein,biochemical;binding;cellular,clinical_development_or_preclinical,high,cytosolic,medium,Gram_negative,Lipid-A/membrane,30,yes,yes,moderate_if_reference_size_ge_30,Exposure and toxicity limited clinical translation
LpxH,lipid A biosynthesis,direct_viability_target,protein,biochemical;cellular,preclinical,high,cytosolic,medium,Gram_negative,Lipid-A/membrane,30,yes,yes,moderate_if_reference_size_ge_30,Species distribution and permeability need checking
PBP,peptidoglycan transpeptidation,direct_viability_target,protein_family,biochemical;binding;cellular,approved,high,periplasmic,high,broad_bacteria,PBP,30,yes,yes,moderate_if_reference_size_ge_30,PBP repertoire and beta-lactamase context are species-specific
PBP2a,peptidoglycan transpeptidation,resistance_target,protein,biochemical;binding;cellular,approved_resistance_target,high,periplasmic,high,MRSA,PBP,10,yes,yes,low_if_reference_size_lt_30,Do not transfer MRSA PBP2a priority to Gram-negative species
Beta-lactamase,beta-lactam resistance,resistance_target,protein_family,biochemical;binding;cellular,approved_resistance_target,variable,periplasmic,high,Gram_negative_and_selected_Gram_positive,,30,yes,yes,moderate_if_reference_size_ge_30,Enzyme family and inhibitor mechanism must be resolved
70S_ribosome,protein synthesis,direct_viability_target,complex,biochemical;binding;cellular,approved,high,cytosolic,medium,broad_bacteria,Ribosome,30,yes,yes,moderate_if_reference_size_ge_30,Drug-specific binding site must be resolved
30S_ribosome,protein synthesis,direct_viability_target,complex,biochemical;binding;cellular,approved,high,cytosolic,medium,broad_bacteria,Ribosome,30,yes,yes,moderate_if_reference_size_ge_30,Do not infer exact subunit from broad phenotypic labels
50S_ribosome,protein synthesis,direct_viability_target,complex,biochemical;binding;cellular,approved,high,cytosolic,medium,broad_bacteria,Ribosome,30,yes,yes,moderate_if_reference_size_ge_30,Macrolide/oxazolidinone/tetracycline sites differ
D-Ala-D-Ala,cell-wall precursor binding,complex_or_substrate_target,small_molecule_substrate,biochemical;binding;cellular,approved,high,extracellular_or_periplasmic,high,Gram_positive,D-Ala-D-Ala / cell wall,30,yes,yes,moderate_if_reference_size_ge_30,Glycopeptide binding is mainly Gram-positive-relevant
Membrane,cell envelope membrane,phenotypic_mechanism,phenotype,cellular;phenotypic,approved,variable,membrane,high,broad_bacteria,membrane,0,no,no,insufficient_without_mechanism_specific_data,Must not be collapsed into one protein target
Efflux,drug export,resistance_mechanism,complex,cellular;phenotypic,clinically_relevant,variable,membrane,high,broad_bacteria,,0,yes,yes,insufficient_without_mechanism_specific_data,Requires transporter and species-specific context
Porin,outer membrane permeability,resistance_mechanism,protein_family,cellular;phenotypic,clinically_relevant,variable,outer_membrane,high,Gram_negative,,0,yes,yes,insufficient_without_mechanism_specific_data,Accessibility mechanism rather than direct binding target
Human_off_target,safety_antitarget,safety_antitarget,protein,biochemical;binding,not_antibacterial,not_applicable,human,not_applicable,human,,30,no,yes,moderate_if_reference_size_ge_30,Used to identify selectivity liabilities rather than antibacterial efficacy
